score,fa_atr,fa_rep,fa_sol,fa_intra_rep,fa_elec,pro_close,hbond_sr_bb,hbond_lr_bb,hbond_bb_sc,hbond_sc,dslf_fa13,rama,omega,fa_dun,p_aa_pp,yhh_planarity,ref,P_ni_disulfides_side,P_ni_mtcontacts,P_ni_rmsd,P_ni_rmsd_threshold,P_ni_trials,ala_count,aroma_count,cys_count,design_score,exposed_hydrophobic,final_rmsd,his_count,met_count,packstat,P_ni_rmsd_type,time,newname
-44.547,-213.85,35.01,105.463,0.861,-17.678,0.582,-5.23,-10.741,-1.76,-0.986,-0.369,2.11,13.073,61.511,-19.506,0.008,6.955,0.0,14.0,0.499,2.0,7.0,0.0,5.0,3.0,-44.547,385.87,1.83,0.0,1.0,0.67,no_motif,721.0,S4_1.1.31
-44.52,-220.084,31.855,121.922,0.784,-20.235,0.123,-5.726,-7.073,-4.223,-1.886,-0.553,3.286,10.104,66.181,-17.782,0.011,-1.225,0.0,15.0,0.694,2.0,1.0,0.0,4.0,3.0,-44.52,223.514,2.967,1.0,0.0,0.534,no_motif,165.0,S4_1.1.32
-44.489,-222.521,36.01,123.057,0.847,-21.447,1.054,-6.549,-7.5,-3.053,-4.952,-0.567,2.274,13.521,72.252,-17.956,0.05,-9.008,0.0,15.0,0.607,2.0,1.0,1.0,6.0,3.0,-44.489,362.661,2.748,0.0,0.0,0.59,no_motif,169.0,S4_1.1.33
-44.162,-217.789,35.779,115.25,0.703,-23.346,0.029,-4.465,-14.508,-2.118,-2.337,-0.632,-0.072,11.895,73.155,-17.921,0.093,2.122,0.0,15.0,0.511,2.0,4.0,0.0,7.0,3.0,-44.162,387.19,2.316,0.0,0.0,0.588,no_motif,451.0,S4_1.1.34
-43.845,-241.382,44.247,121.281,0.899,-24.851,0.08,-7.175,-11.491,-2.454,-0.969,-0.704,5.241,10.459,75.611,-16.214,0.003,3.573,0.0,15.0,0.471,2.0,2.0,0.0,7.0,3.0,-43.845,439.1,2.589,0.0,0.0,0.637,no_motif,235.0,S4_1.1.35
-43.766,-227.227,34.659,113.058,0.751,-16.864,0.124,-2.162,-8.973,-1.778,-0.289,-0.924,2.668,8.226,73.785,-16.846,0.011,-1.986,0.0,15.0,0.407,2.0,4.0,0.0,9.0,3.0,-43.766,490.057,2.816,0.0,0.0,0.584,no_motif,604.0,S4_1.1.36
-43.295,-230.839,39.814,114.842,0.747,-23.416,1.067,-4.467,-8.364,-3.584,-1.8,-0.699,2.192,12.676,77.868,-18.857,0.01,-0.485,0.0,14.0,0.496,2.0,2.0,0.0,7.0,3.0,-43.295,343.618,2.229,0.0,0.0,0.551,no_motif,246.0,S4_1.1.37
-43.176,-224.35,33.695,122.968,0.741,-25.028,0.087,-4.541,-11.98,-1.26,-5.34,-0.371,1.369,12.304,77.43,-16.012,0.004,-2.891,0.0,16.0,0.478,2.0,4.0,0.0,7.0,3.0,-43.176,280.961,1.739,1.0,0.0,0.633,no_motif,608.0,S4_1.1.38
-43.041,-229.274,40.94,108.852,0.776,-22.172,0.0,-5.36,-11.19,-2.373,-1.401,-0.723,2.475,16.718,69.208,-18.237,0.003,8.718,0.0,16.0,0.514,2.0,1.0,0.0,9.0,3.0,-43.041,449.486,2.193,0.0,0.0,0.546,no_motif,159.0,S4_1.1.39
-42.992,-230.097,36.825,120.784,0.775,-21.07,0.143,-2.895,-9.138,-3.643,-2.095,-0.429,3.786,9.084,76.397,-18.808,0.052,-2.662,0.0,16.0,0.499,2.0,4.0,1.0,9.0,3.0,-42.992,397.176,2.643,0.0,0.0,0.55,no_motif,528.0,S4_1.1.40
-42.949,-228.672,34.265,117.884,0.724,-18.911,0.064,-4.679,-9.127,-2.172,-3.155,-0.306,3.651,11.721,77.819,-17.692,0.068,-4.431,0.0,16.0,0.537,2.0,1.0,0.0,8.0,3.0,-42.949,397.404,2.84,0.0,0.0,0.566,no_motif,152.0,S4_1.1.41
-42.914,-215.514,31.949,121.065,0.746,-24.625,0.04,-4.386,-7.231,-5.029,-3.488,-0.071,6.762,10.372,71.47,-21.163,0.01,-3.819,0.0,15.0,1.238,2.0,3.0,0.0,9.0,2.0,-42.914,342.574,2.507,0.0,0.0,0.587,no_motif,388.0,S4_1.1.42
-42.821,-221.191,32.199,120.433,0.728,-22.778,0.106,-5.434,-11.372,-3.862,-0.503,-0.513,1.972,10.404,70.161,-15.219,0.03,2.017,0.0,14.0,0.869,2.0,1.0,0.0,6.0,3.0,-42.821,406.192,2.483,0.0,0.0,0.583,no_motif,167.0,S4_1.1.43
-42.778,-227.282,29.818,126.925,0.684,-25.162,0.369,-3.792,-8.781,-1.361,-3.86,-0.59,8.592,13.637,82.108,-20.063,0.004,-14.025,0.0,15.0,0.619,2.0,5.0,2.0,6.0,2.0,-42.778,285.468,3.453,0.0,0.0,0.45,no_motif,658.0,S4_1.1.44
-42.688,-214.097,35.662,123.223,0.706,-21.705,0.15,-6.756,-10.186,-1.965,-3.307,-0.882,1.573,9.814,63.433,-17.34,0.026,-1.039,0.0,16.0,0.57,2.0,8.0,0.0,5.0,3.0,-42.688,311.311,2.838,0.0,0.0,0.569,no_motif,842.0,S4_1.1.45
-42.622,-244.798,34.908,137.735,0.813,-27.915,0.0,-6.217,-10.256,-3.834,-3.153,-0.588,7.245,11.056,86.851,-17.346,0.005,-7.128,0.0,15.0,0.748,2.0,4.0,0.0,5.0,2.0,-42.622,469.558,2.874,0.0,0.0,0.557,no_motif,452.0,S4_1.1.46
-42.602,-221.313,34.568,122.634,0.738,-24.098,0.082,-5.398,-10.402,-2.143,-1.511,-1.027,7.678,10.541,71.459,-18.75,0.019,-5.68,0.0,14.0,0.489,2.0,9.0,0.0,4.0,2.0,-42.602,465.435,2.488,0.0,0.0,0.555,no_motif,898.0,S4_1.1.47
-42.325,-247.725,33.514,126.889,0.811,-20.637,0.014,-3.432,-11.995,-2.028,-2.524,-0.951,4.217,9.311,82.278,-15.762,0.0,5.695,0.0,14.0,0.598,2.0,5.0,0.0,12.0,3.0,-42.325,468.737,2.467,0.0,0.0,0.612,no_motif,613.0,S4_1.1.48
-42.195,-241.12,43.252,115.699,0.814,-21.158,0.103,-5.7,-8.455,-1.979,-1.17,-0.568,9.177,10.344,74.228,-16.581,0.111,0.809,0.0,16.0,0.577,2.0,9.0,0.0,11.0,3.0,-42.195,413.885,2.358,0.0,0.0,0.604,no_motif,864.0,S4_1.1.49
-42.165,-214.649,32.637,98.252,0.939,-20.842,0.363,-7.854,-8.305,-1.005,-0.93,-1.23,7.937,6.59,80.209,-16.642,0.009,2.356,0.0,12.0,0.725,2.0,4.0,1.0,10.0,2.0,-42.165,661.106,2.658,0.0,0.0,0.523,no_motif,629.0,S4_1.1.50
-42.101,-225.83,32.305,122.708,0.721,-25.609,0.188,-2.928,-8.408,-3.506,-3.578,1.676,1.327,11.679,81.336,-16.702,0.246,-7.726,0.0,18.0,1.472,2.0,1.0,0.0,6.0,2.0,-42.101,323.529,2.501,1.0,0.0,0.558,no_motif,136.0,S4_1.1.51
-41.87,-247.215,47.041,131.551,0.835,-31.215,0.48,-5.985,-9.137,-1.372,-6.317,-0.731,7.598,10.692,75.518,-14.277,0.028,0.636,0.0,15.0,0.626,2.0,8.0,0.0,9.0,3.0,-41.87,372.488,2.501,0.0,0.0,0.591,no_motif,809.0,S4_1.1.52
-41.641,-257.438,38.601,125.549,1.221,-21.214,0.093,-3.888,-12.326,-3.972,-0.699,-0.75,5.981,12.703,90.066,-17.437,0.305,1.563,0.0,14.0,0.647,2.0,7.0,1.0,13.0,3.0,-41.641,512.56,2.271,0.0,0.0,0.686,no_motif,778.0,S4_1.1.53
-41.534,-211.856,31.976,119.258,0.701,-26.886,0.0,-5.143,-12.159,-1.623,-2.382,-0.269,0.697,12.166,68.142,-16.274,0.022,2.095,0.0,15.0,0.614,2.0,1.0,0.0,7.0,3.0,-41.534,277.007,2.449,0.0,0.0,0.599,no_motif,187.0,S4_1.1.54
-41.393,-216.259,36.445,131.229,0.688,-29.721,0.0,-6.849,-9.602,-0.983,-5.083,-1.042,7.96,8.118,67.214,-17.539,0.013,-5.981,0.0,14.0,0.519,2.0,1.0,1.0,4.0,3.0,-41.393,307.28,2.834,0.0,0.0,0.541,no_motif,179.0,S4_1.1.55
-41.347,-217.156,35.462,120.584,0.666,-31.437,0.013,-5.695,-11.347,-2.791,-3.667,-1.111,3.591,14.892,76.529,-15.574,0.001,-4.307,0.0,14.0,0.795,2.0,2.0,0.0,4.0,3.0,-41.347,309.855,1.824,0.0,0.0,0.58,no_motif,250.0,S4_1.1.56
-41.318,-230.977,38.271,125.508,0.958,-22.698,0.064,-5.531,-10.653,-0.726,-5.119,-0.523,3.837,9.019,83.474,-18.315,0.34,-8.248,0.0,13.0,0.632,2.0,3.0,0.0,9.0,3.0,-41.318,479.812,2.754,0.0,0.0,0.57,no_motif,367.0,S4_1.1.57
-41.257,-246.615,36.978,120.721,0.835,-17.627,0.076,-3.421,-10.227,-3.143,-1.319,0.045,3.666,18.056,73.976,-16.874,0.004,3.613,0.0,13.0,0.54,2.0,2.0,1.0,11.0,3.0,-41.257,632.506,1.91,0.0,0.0,0.63,no_motif,316.0,S4_1.1.58
-41.25,-225.003,37.746,114.206,0.811,-19.603,0.466,-3.083,-9.011,-4.695,0.0,-1.05,6.085,9.273,64.504,-15.675,0.001,3.779,0.0,12.0,0.667,2.0,2.0,1.0,9.0,3.0,-41.25,436.319,2.753,0.0,0.0,0.61,no_motif,341.0,S4_1.1.59
-41.247,-231.883,36.182,122.345,0.773,-21.58,0.025,-3.881,-12.662,-5.4,-3.241,-0.802,5.979,13.084,78.999,-17.842,0.004,-1.346,0.0,14.0,0.843,2.0,3.0,1.0,6.0,2.0,-41.247,423.856,2.375,0.0,0.0,0.564,no_motif,332.0,S4_1.1.60
-41.244,-217.888,33.316,118.454,0.799,-23.708,0.192,-5.667,-10.916,-3.231,-0.556,-0.87,1.937,9.625,74.762,-16.581,0.283,-1.197,0.0,16.0,0.486,2.0,6.0,0.0,5.0,2.0,-41.244,298.213,1.983,1.0,0.0,0.501,no_motif,765.0,S4_1.1.61
-40.988,-200.181,41.687,106.263,0.651,-25.093,0.586,-6.923,-7.004,-2.509,-2.329,-0.562,4.659,10.264,56.026,-18.218,0.0,1.695,0.0,16.0,0.554,2.0,4.0,0.0,1.0,3.0,-40.988,222.278,2.508,0.0,0.0,0.568,no_motif,441.0,S4_1.1.62
-40.811,-210.128,34.26,119.871,0.781,-27.231,0.202,-2.909,-9.181,-3.597,-3.642,-0.634,3.874,14.899,64.195,-21.074,0.004,-0.5,0.0,13.0,0.549,2.0,5.0,0.0,8.0,2.0,-40.811,439.31,1.816,0.0,0.0,0.542,no_motif,619.0,S4_1.1.63
-40.695,-222.634,41.19,127.15,0.643,-25.18,0.63,-4.917,-10.164,-5.436,-3.453,-0.488,4.143,12.758,71.909,-17.49,0.001,-9.356,0.0,16.0,0.514,2.0,3.0,0.0,3.0,3.0,-40.695,326.039,2.733,0.0,0.0,0.583,no_motif,342.0,S4_1.1.64
-40.626,-209.05,40.206,104.017,0.606,-19.004,1.308,-3.244,-11.618,-0.82,-2.662,-0.65,3.854,11.313,60.689,-18.835,0.002,3.26,0.0,15.0,0.53,2.0,2.0,0.0,6.0,2.0,-40.626,308.358,2.471,0.0,0.0,0.547,no_motif,247.0,S4_1.1.65
-40.447,-252.12,46.389,125.527,0.828,-23.324,0.099,-5.7,-9.58,-3.63,-2.768,-0.929,4.807,14.482,82.424,-17.033,0.001,0.08,0.0,15.0,0.602,2.0,2.0,1.0,9.0,3.0,-40.447,403.334,2.557,0.0,0.0,0.608,no_motif,258.0,S4_1.1.66
-40.377,-226.058,39.076,114.032,0.778,-21.135,0.119,-3.868,-10.408,-1.645,-2.047,-0.246,1.18,10.5,69.698,-14.714,0.0,4.361,0.0,14.0,0.475,2.0,4.0,0.0,7.0,2.0,-40.377,479.178,2.427,0.0,0.0,0.589,no_motif,619.0,S4_1.1.67
-40.276,-214.573,31.185,109.798,0.792,-20.478,0.222,-4.992,-13.373,-1.059,-1.638,-0.102,-1.033,12.409,73.016,-14.772,0.187,4.135,0.0,15.0,0.661,2.0,3.0,0.0,6.0,2.0,-40.276,522.473,1.784,0.0,0.0,0.596,no_motif,288.0,S4_1.1.68
-40.253,-223.701,36.932,117.385,0.745,-26.58,0.169,-5.369,-5.902,-4.143,-1.679,-0.9,9.283,7.744,75.729,-18.657,0.0,-1.311,0.0,15.0,1.177,2.0,2.0,3.0,8.0,2.0,-40.253,577.507,2.879,0.0,0.0,0.574,no_motif,270.0,S4_1.1.69
-40.207,-212.274,35.67,114.993,0.641,-28.375,0.454,-4.238,-7.077,-4.624,-2.73,-0.473,5.024,14.127,68.696,-18.689,0.133,-1.465,0.0,12.0,0.589,2.0,2.0,0.0,3.0,3.0,-40.207,299.035,1.988,0.0,0.0,0.546,no_motif,329.0,S4_1.1.70
-39.961,-229.989,33.465,125.852,0.791,-27.285,0.05,-4.275,-11.327,-2.508,-2.125,-0.382,1.38,12.776,80.123,-14.316,0.043,-2.232,0.0,16.0,0.451,2.0,1.0,0.0,8.0,3.0,-39.961,458.482,1.728,0.0,0.0,0.556,no_motif,137.0,S4_1.1.71
-39.944,-229.436,35.037,112.338,0.787,-12.255,0.654,-3.616,-9.996,-2.212,-2.966,-0.741,0.73,11.612,75.939,-15.129,0.506,-1.196,0.0,14.0,0.559,2.0,5.0,2.0,8.0,3.0,-39.944,478.918,2.865,0.0,0.0,0.54,no_motif,644.0,S4_1.1.72
-39.866,-208.027,34.812,122.048,0.732,-30.769,0.044,-5.551,-8.36,-3.289,-2.2,-0.987,5.609,10.211,65.73,-20.077,0.278,-0.071,0.0,14.0,0.498,2.0,6.0,3.0,8.0,2.0,-39.866,433.529,3.287,0.0,0.0,0.514,no_motif,702.0,S4_1.1.73
-39.864,-204.382,33.751,114.394,0.61,-19.175,0.344,-5.037,-7.67,-2.974,-3.349,-0.671,3.627,7.934,65.966,-18.987,0.206,-4.451,0.0,16.0,0.546,2.0,2.0,1.0,7.0,3.0,-39.864,217.382,2.354,0.0,0.0,0.572,no_motif,320.0,S4_1.1.74
-39.75,-221.594,29.721,118.89,0.784,-21.222,0.017,-3.485,-6.214,-4.893,-2.164,-1.218,3.294,12.802,65.306,-15.551,0.029,5.747,0.0,13.0,0.589,2.0,3.0,1.0,10.0,3.0,-39.75,585.291,2.426,0.0,0.0,0.625,no_motif,368.0,S4_1.1.75
-39.719,-213.552,28.973,115.988,0.746,-22.437,0.0,-3.933,-11.316,-4.644,-1.623,-0.819,2.89,11.237,71.662,-17.498,0.01,4.598,0.0,14.0,0.616,2.0,1.0,0.0,7.0,2.0,-39.719,469.751,2.409,0.0,0.0,0.619,no_motif,146.0,S4_1.1.76
-39.639,-232.389,36.016,118.794,0.74,-20.557,0.01,-5.285,-14.064,-0.909,-2.061,-1.062,6.043,13.623,73.981,-15.231,0.127,2.585,0.0,15.0,0.457,2.0,4.0,0.0,8.0,3.0,-39.639,473.365,2.252,1.0,0.0,0.616,no_motif,377.0,S4_1.1.77
-39.557,-210.641,38.692,108.999,0.606,-16.789,0.673,-3.365,-7.928,-5.761,-2.487,-1.087,10.314,9.47,69.478,-25.618,0.626,-4.74,0.0,15.0,0.736,2.0,7.0,0.0,8.0,2.0,-39.557,321.341,2.555,0.0,0.0,0.575,no_motif,901.0,S4_1.1.78
-39.524,-225.138,36.611,119.989,0.829,-25.438,0.053,-3.38,-14.524,-4.01,-2.27,-0.722,5.782,15.755,79.296,-20.371,0.088,-2.075,0.0,13.0,0.645,2.0,8.0,0.0,9.0,3.0,-39.524,458.917,1.948,0.0,0.0,0.565,no_motif,1042.0,S4_1.1.79
-39.432,-231.187,32.828,121.075,0.826,-28.887,0.22,-3.231,-10.214,-2.158,-2.456,-0.203,4.128,15.305,85.549,-16.1,0.005,-4.932,0.0,15.0,0.642,2.0,7.0,0.0,9.0,2.0,-39.432,659.753,2.154,0.0,0.0,0.433,no_motif,1073.0,S4_1.1.80
-39.207,-257.786,42.345,138.583,0.815,-27.079,0.23,-4.047,-12.006,-1.887,-3.45,-0.231,5.654,10.819,76.892,-12.3,0.001,4.238,0.0,14.0,0.733,2.0,1.0,0.0,11.0,2.0,-39.207,412.781,2.813,0.0,0.0,0.626,no_motif,187.0,S4_1.1.81
-38.986,-234.447,37.606,130.373,0.745,-24.657,0.195,-5.872,-13.335,-3.595,-1.116,-1.121,4.132,9.893,78.043,-14.366,0.009,-1.473,0.0,14.0,0.428,2.0,4.0,1.0,7.0,2.0,-38.986,673.833,1.771,0.0,0.0,0.562,no_motif,400.0,S4_1.1.82
-38.901,-235.441,38.18,121.857,0.787,-22.12,0.057,-6.196,-8.17,-0.79,-3.362,-0.479,2.767,9.989,82.148,-13.766,0.143,-4.503,0.0,16.0,0.984,2.0,4.0,1.0,5.0,2.0,-38.901,267.279,2.476,0.0,0.0,0.586,no_motif,413.0,S4_1.1.83
-38.9,-241.481,44.15,124.459,0.913,-24.68,0.184,-6.434,-11.507,-1.376,-4.606,-1.166,4.364,14.76,76.235,-15.417,0.116,2.588,0.0,14.0,0.494,2.0,3.0,0.0,7.0,3.0,-38.9,383.561,2.596,0.0,0.0,0.6,no_motif,396.0,S4_1.1.84
-38.634,-224.525,32.237,117.24,0.809,-21.222,0.2,-4.458,-8.749,-4.77,-0.811,-1.169,6.61,10.941,84.173,-17.867,0.062,-7.333,0.0,14.0,0.493,2.0,1.0,1.0,8.0,3.0,-38.634,546.943,2.583,0.0,0.0,0.543,no_motif,176.0,S4_1.1.85
-38.626,-220.064,36.891,121.206,0.74,-25.766,0.0,-5.837,-11.332,-2.711,-3.596,-1.19,2.117,13.428,72.167,-15.008,0.029,0.299,0.0,16.0,0.526,2.0,3.0,0.0,6.0,2.0,-38.626,375.313,2.126,0.0,0.0,0.585,no_motif,349.0,S4_1.1.86
